0/axis,0/value,0/owner,1/axis,1/value,1/owner,2/axis,2/value,2/owner,3/axis,3/value,3/owner,4/axis,4/value,4/owner
Games Played,782,Crosby,Goals,382,Crosby,Assists,645,Crosby,Points,1027,Crosby,PIM,576,Crosby
Games Played,927,Gretzky,Goals,723,Gretzky,Assists,1366,Gretzky,Points,2089,Gretzky,PIM,410,Gretzky
